,Date,Goal,Funds
0,2025-10-01 00:01:00-05:00,7000,145
1,2025-10-01 01:01:00-05:00,7000,145
2,2025-10-01 02:01:00-05:00,7000,150
3,2025-10-01 03:01:00-05:00,7000,150
4,2025-10-01 04:01:00-05:00,7000,150
5,2025-10-01 05:01:00-05:00,7000,160
6,2025-10-01 06:01:00-05:00,7000,282
7,2025-10-01 07:01:00-05:00,7000,311
8,2025-10-01 08:01:00-05:00,7000,338
9,2025-10-01 09:01:00-05:00,7000,338
10,2025-10-01 10:01:00-05:00,7000,338
11,2025-10-01 11:01:00-05:00,7000,348
12,2025-10-01 12:01:00-05:00,7000,348
13,2025-10-01 13:01:00-05:00,7000,348
14,2025-10-01 14:01:00-05:00,7000,348
15,2025-10-01 15:01:00-05:00,7000,348
16,2025-10-01 16:01:00-05:00,7000,348
17,2025-10-01 17:01:00-05:00,7000,353
18,2025-10-01 18:01:00-05:00,7000,368
19,2025-10-01 19:01:00-05:00,7000,368
20,2025-10-01 20:01:00-05:00,7000,373
21,2025-10-02 20:35:00-05:00,7000,581
22,2025-10-02 20:36:00-05:00,7000,581
23,2025-10-02 21:01:00-05:00,7000,581
24,2025-10-02 22:01:00-05:00,7000,586
25,2025-10-02 23:01:00-05:00,7000,591
26,2025-10-03 00:01:00-05:00,7000,601
27,2025-10-03 01:01:00-05:00,7000,601
28,2025-10-03 02:01:00-05:00,7000,601
29,2025-10-03 03:01:00-05:00,7000,601
30,2025-10-03 04:01:00-05:00,7000,610
31,2025-10-03 05:01:00-05:00,7000,723
32,2025-10-03 06:01:00-05:00,7000,723
33,2025-10-03 07:01:00-05:00,7000,723
34,2025-10-03 08:01:00-05:00,7000,723
35,2025-10-03 09:01:00-05:00,7000,754
36,2025-10-03 10:01:00-05:00,7000,759
37,2025-10-03 11:01:00-05:00,7000,769
38,2025-10-03 12:01:00-05:00,7000,769
39,2025-10-03 13:01:00-05:00,7000,774
40,2025-10-03 14:01:00-05:00,7000,774
41,2025-10-03 15:01:00-05:00,7000,774
42,2025-10-03 16:01:00-05:00,7000,774
43,2025-10-03 17:01:00-05:00,7000,784
44,2025-10-03 18:01:00-05:00,7000,854
45,2025-10-03 19:01:00-05:00,7000,864
46,2025-10-03 20:01:00-05:00,7000,864
47,2025-10-03 21:01:00-05:00,7000,864
48,2025-10-03 22:01:00-05:00,7000,864
49,2025-10-03 23:01:00-05:00,7000,871
50,2025-10-04 00:01:00-05:00,7000,871
51,2025-10-04 01:01:00-05:00,7000,871
52,2025-10-04 02:01:00-05:00,7000,871
53,2025-10-04 03:01:00-05:00,7000,876
54,2025-10-04 04:01:00-05:00,7000,883
55,2025-10-04 05:01:00-05:00,7000,1079
56,2025-10-04 06:01:00-05:00,7000,1079
57,2025-10-04 07:01:00-05:00,7000,1079
58,2025-10-04 08:01:00-05:00,7000,1084
59,2025-10-04 09:01:00-05:00,7000,1134
60,2025-10-04 10:01:00-05:00,7000,1139
61,2025-10-04 11:01:00-05:00,7000,1139
62,2025-10-04 12:01:00-05:00,7000,1139
63,2025-10-04 13:01:00-05:00,7000,1139
64,2025-10-04 14:01:00-05:00,7000,1144
65,2025-10-04 15:01:00-05:00,7000,1219
66,2025-10-04 16:01:00-05:00,7000,1219
67,2025-10-04 17:01:00-05:00,7000,1224
68,2025-10-04 18:01:00-05:00,7000,1224
69,2025-10-04 19:01:00-05:00,7000,1224
70,2025-10-04 20:01:00-05:00,7000,1224
71,2025-10-04 21:01:00-05:00,7000,1224
72,2025-10-04 22:01:00-05:00,7000,1224
73,2025-10-04 23:01:00-05:00,7000,1224
74,2025-10-05 00:01:00-05:00,7000,1224
75,2025-10-05 01:01:00-05:00,7000,1224
76,2025-10-05 02:01:00-05:00,7000,1249
77,2025-10-05 03:01:00-05:00,7000,1249
78,2025-10-05 04:01:00-05:00,7000,1260
79,2025-10-05 05:01:00-05:00,7000,1455
80,2025-10-05 06:01:00-05:00,7000,1455
81,2025-10-05 07:01:00-05:00,7000,1455
82,2025-10-05 08:01:00-05:00,7000,1455
83,2025-10-05 09:01:00-05:00,7000,1460
84,2025-10-05 10:01:00-05:00,7000,1460
85,2025-10-05 11:01:00-05:00,7000,1460
86,2025-10-05 12:01:00-05:00,7000,1460
87,2025-10-05 13:01:00-05:00,7000,1460
88,2025-10-05 14:01:00-05:00,7000,1460
89,2025-10-05 15:01:00-05:00,7000,1460
90,2025-10-05 16:01:00-05:00,7000,1460
91,2025-10-05 17:01:00-05:00,7000,1465
92,2025-10-05 18:01:00-05:00,7000,1465
93,2025-10-05 19:01:00-05:00,7000,1465
94,2025-10-05 20:01:00-05:00,7000,1501
95,2025-10-05 21:01:00-05:00,7000,1506
96,2025-10-05 22:01:00-05:00,7000,1506
97,2025-10-05 23:01:00-05:00,7000,1511
98,2025-10-06 00:01:00-05:00,7000,1516
99,2025-10-06 01:01:00-05:00,7000,1516
100,2025-10-06 02:01:00-05:00,7000,1516
101,2025-10-06 03:01:00-05:00,7000,1516
102,2025-10-06 04:01:00-05:00,7000,1548
103,2025-10-06 05:01:00-05:00,7000,1640
