Date,Goal,Funds
2025-11-20 00:01:02-0600,7000,3767
2025-11-20 01:01:01-0600,7000,3767
2025-11-20 02:01:02-0600,7000,3767
2025-11-20 03:01:01-0600,7000,3767
2025-11-20 04:01:02-0600,7000,3832
2025-11-20 05:01:01-0600,7000,3896
2025-11-20 06:01:02-0600,7000,3964
2025-11-20 07:01:02-0600,7000,3964
2025-11-20 08:01:01-0600,7000,3964
2025-11-20 09:01:02-0600,7000,3984
2025-11-20 10:01:02-0600,7000,3984
2025-11-20 11:01:01-0600,7000,3984
2025-11-20 12:01:02-0600,7000,3984
2025-11-20 13:01:01-0600,7000,3984
2025-11-20 14:01:02-0600,7000,3984
2025-11-20 15:01:02-0600,7000,3984
2025-11-20 16:01:02-0600,7000,3984
2025-11-20 17:01:01-0600,7000,3984
2025-11-20 18:01:02-0600,7000,3984
2025-11-20 19:01:01-0600,7000,3984
2025-11-20 20:01:02-0600,7000,3984
2025-11-20 21:01:01-0600,7000,3984
2025-11-20 22:01:02-0600,7000,3984
2025-11-20 23:01:02-0600,7000,3984
2025-11-21 00:01:01-0600,7000,3984
2025-11-21 01:01:02-0600,7000,3984
2025-11-21 02:01:01-0600,7000,3984
2025-11-21 03:01:02-0600,7000,3767
2025-11-21 04:01:02-0600,7000,3785
2025-11-21 05:01:01-0600,7000,4001
2025-11-21 06:01:02-0600,7000,4001
2025-11-21 07:01:01-0600,7000,4001
2025-11-21 08:01:02-0600,7000,3785
2025-11-21 09:01:02-0600,7000,4001
2025-11-21 10:01:01-0600,7000,4001
2025-11-21 11:01:02-0600,7000,4001
2025-11-21 12:01:01-0600,7000,4001
2025-11-21 13:01:02-0600,7000,3785
2025-11-21 14:01:02-0600,7000,4001
2025-11-21 15:01:01-0600,7000,4001
2025-11-21 16:01:02-0600,7000,3785
2025-11-21 17:01:01-0600,7000,4001
2025-11-21 18:01:02-0600,7000,3785
2025-11-21 19:01:01-0600,7000,3767
2025-11-21 20:01:01-0600,7000,3767
2025-11-21 21:01:02-0600,7000,3767
2025-11-21 22:01:01-0600,7000,4011
2025-11-21 23:01:02-0600,7000,3777
2025-11-22 00:01:01-0600,7000,3777
2025-11-22 01:01:02-0600,7000,4011
2025-11-22 02:01:01-0600,7000,3777
2025-11-22 03:01:02-0600,7000,3777
2025-11-22 04:01:01-0600,7000,4073
2025-11-22 05:01:02-0600,7000,4073
2025-11-22 06:01:01-0600,7000,4078
2025-11-22 07:01:02-0600,7000,3844
2025-11-22 08:01:01-0600,7000,4078
2025-11-22 09:01:02-0600,7000,3844
2025-11-22 10:01:02-0600,7000,3844
2025-11-22 11:01:01-0600,7000,4078
2025-11-22 12:01:01-0600,7000,4144
