,Date,Funds
0,2025-08-01 00:01 CDT,0
1,2025-08-01 01:01 CDT,0
2,2025-08-01 02:01 CDT,0
3,2025-08-01 03:01 CDT,0
4,2025-08-01 04:01 CDT,5
5,2025-08-01 05:01 CDT,10
6,2025-08-01 06:01 CDT,46
7,2025-08-01 07:01 CDT,75
8,2025-08-01 08:01 CDT,75
9,2025-08-01 09:01 CDT,106
10,2025-08-01 10:01 CDT,106
11,2025-08-01 11:01 CDT,106
12,2025-08-01 12:01 CDT,106
13,2025-08-01 13:01 CDT,116
14,2025-08-01 14:01 CDT,126
15,2025-08-01 15:01 CDT,126
16,2025-08-01 16:01 CDT,131
17,2025-08-01 17:01 CDT,131
18,2025-08-01 18:01 CDT,131
19,2025-08-01 19:01 CDT,131
20,2025-08-01 20:01 CDT,131
21,2025-08-01 21:01 CDT,136
22,2025-08-01 22:01 CDT,136
23,2025-08-01 23:01 CDT,136
24,2025-08-02 00:01 CDT,146
25,2025-08-02 01:01 CDT,146
26,2025-08-02 02:01 CDT,146
27,2025-08-02 03:01 CDT,146
28,2025-08-02 04:01 CDT,146
29,2025-08-02 05:01 CDT,264
30,2025-08-02 06:01 CDT,264
31,2025-08-02 07:01 CDT,264
32,2025-08-02 08:01 CDT,264
33,2025-08-02 09:01 CDT,269
34,2025-08-02 10:01 CDT,269
35,2025-08-02 11:01 CDT,276
36,2025-08-02 12:01 CDT,281
37,2025-08-02 13:01 CDT,281
38,2025-08-02 14:01 CDT,281
39,2025-08-02 15:01 CDT,281
40,2025-08-02 16:01 CDT,281
41,2025-08-02 17:01 CDT,291
42,2025-08-02 18:01 CDT,291
43,2025-08-02 19:01 CDT,291
44,2025-08-02 20:01 CDT,291
45,2025-08-02 21:01 CDT,291
46,2025-08-02 22:01 CDT,296
47,2025-08-02 23:01 CDT,296
48,2025-08-03 00:01 CDT,296
49,2025-08-03 01:01 CDT,296
50,2025-08-03 02:01 CDT,296
51,2025-08-03 03:01 CDT,296
52,2025-08-03 04:01 CDT,304
53,2025-08-03 05:01 CDT,368
54,2025-08-03 06:01 CDT,368
55,2025-08-03 07:01 CDT,368
56,2025-08-03 08:01 CDT,368
57,2025-08-03 09:01 CDT,373
58,2025-08-03 10:01 CDT,373
59,2025-08-03 11:01 CDT,373
60,2025-08-03 12:01 CDT,373
61,2025-08-03 13:01 CDT,378
62,2025-08-03 14:01 CDT,378
63,2025-08-03 15:01 CDT,383
64,2025-08-03 16:01 CDT,383
65,2025-08-03 17:01 CDT,383
66,2025-08-03 18:01 CDT,383
67,2025-08-03 19:01 CDT,383
68,2025-08-03 20:01 CDT,388
69,2025-08-03 21:01 CDT,388
70,2025-08-03 22:01 CDT,388
71,2025-08-03 23:01 CDT,388
72,2025-08-04 00:01 CDT,388
73,2025-08-04 01:01 CDT,388
74,2025-08-04 02:01 CDT,388
75,2025-08-05 20:40 CDT,652
76,2025-08-05 21:01 CDT,652
77,2025-08-05 21:19 CDT,652
78,2025-08-05 21:19 CDT,652
79,2025-08-05 22:01 CDT,722
80,2025-08-05 23:01 CDT,727
81,2025-08-06 00:01 CDT,727
82,2025-08-06 01:01 CDT,727
83,2025-08-06 02:01 CDT,727
84,2025-08-06 03:01 CDT,727
85,2025-08-06 04:01 CDT,727
86,2025-08-06 05:01 CDT,806
87,2025-08-06 06:01 CDT,806
88,2025-08-06 07:01 CDT,806
89,2025-08-06 08:01 CDT,806
90,2025-08-06 09:01 CDT,806
91,2025-08-06 10:01 CDT,806
92,2025-08-06 11:01 CDT,811
93,2025-08-06 12:01 CDT,811
94,2025-08-06 13:01 CDT,816
95,2025-08-06 14:01 CDT,821
96,2025-08-06 15:01 CDT,821
97,2025-08-06 16:01 CDT,821
98,2025-08-06 17:01 CDT,821
99,2025-08-06 18:01 CDT,821
100,2025-08-06 19:01 CDT,821
101,2025-08-06 20:01 CDT,821
102,2025-08-06 21:01 CDT,821
103,2025-08-06 22:01 CDT,821
104,2025-08-06 23:01 CDT,821
105,2025-08-07 00:01 CDT,821
106,2025-08-07 01:01 CDT,826
107,2025-08-07 02:01 CDT,836
108,2025-08-07 03:01 CDT,836
109,2025-08-07 04:01 CDT,836
110,2025-08-07 05:01 CDT,929
111,2025-08-07 06:01 CDT,983
112,2025-08-07 07:01 CDT,983
113,2025-08-07 08:01 CDT,983
114,2025-08-07 09:01 CDT,983
115,2025-08-07 10:01 CDT,988
116,2025-08-07 11:01 CDT,988
117,2025-08-07 12:01 CDT,988
118,2025-08-07 13:01 CDT,988
119,2025-08-07 14:01 CDT,988
120,2025-08-07 15:01 CDT,988
121,2025-08-07 16:01 CDT,988
122,2025-08-07 17:01 CDT,988
123,2025-08-07 18:01 CDT,988
124,2025-08-07 19:01 CDT,988
125,2025-08-07 20:01 CDT,990
126,2025-08-07 21:01 CDT,990
127,2025-08-07 22:01 CDT,990
128,2025-08-07 23:01 CDT,990
129,2025-08-08 00:01 CDT,990
130,2025-08-08 01:01 CDT,995
131,2025-08-08 02:01 CDT,995
132,2025-08-08 03:01 CDT,995
133,2025-08-08 04:01 CDT,999
134,2025-08-08 05:01 CDT,1010
135,2025-08-08 06:01 CDT,1010
136,2025-08-08 07:01 CDT,1010
137,2025-08-08 08:01 CDT,1041
138,2025-08-08 09:01 CDT,1041
139,2025-08-08 10:01 CDT,1046
140,2025-08-08 11:01 CDT,1046
141,2025-08-08 12:01 CDT,1046
142,2025-08-08 13:01 CDT,1046
143,2025-08-08 14:01 CDT,1046
144,2025-08-08 15:01 CDT,1046
145,2025-08-08 16:01 CDT,1046
146,2025-08-08 17:01 CDT,1046
147,2025-08-08 18:01 CDT,1046
148,2025-08-08 19:01 CDT,1051
149,2025-08-08 20:01 CDT,1051
150,2025-08-08 21:01 CDT,1051
151,2025-08-08 22:01 CDT,1051
152,2025-08-08 23:01 CDT,1056
153,2025-08-09 00:01 CDT,1056
154,2025-08-09 01:01 CDT,1056
155,2025-08-09 02:01 CDT,1056
156,2025-08-09 03:01 CDT,1056
157,2025-08-09 04:01 CDT,1074
158,2025-08-09 05:01 CDT,1089
159,2025-08-09 06:01 CDT,1089
160,2025-08-09 07:01 CDT,1089
161,2025-08-09 08:01 CDT,1089
162,2025-08-09 09:01 CDT,1089
163,2025-08-09 10:01 CDT,1089
164,2025-08-09 11:01 CDT,1089
165,2025-08-09 12:01 CDT,1089
166,2025-08-09 13:01 CDT,1089
167,2025-08-09 14:01 CDT,1089
168,2025-08-09 15:01 CDT,1089
169,2025-08-09 16:01 CDT,1094
170,2025-08-09 17:01 CDT,1094
171,2025-08-09 18:01 CDT,1104
172,2025-08-09 19:01 CDT,1104
173,2025-08-09 20:01 CDT,1104
174,2025-08-09 21:01 CDT,1119
175,2025-08-09 22:01 CDT,1259
176,2025-08-09 23:01 CDT,1259
177,2025-08-10 00:01 CDT,1264
178,2025-08-10 01:01 CDT,1264
179,2025-08-10 02:01 CDT,1264
180,2025-08-10 03:01 CDT,1264
181,2025-08-10 04:01 CDT,1266
182,2025-08-10 05:01 CDT,1315
183,2025-08-10 06:01 CDT,1315
184,2025-08-10 07:01 CDT,1315
185,2025-08-10 08:01 CDT,1320
186,2025-08-10 09:01 CDT,1320
187,2025-08-10 10:01 CDT,1370
188,2025-08-10 11:01 CDT,1420
189,2025-08-10 12:01 CDT,1420
190,2025-08-10 13:01 CDT,1420
191,2025-08-10 14:01 CDT,1420
192,2025-08-10 15:01 CDT,1420
193,2025-08-10 16:01 CDT,1420
194,2025-08-10 17:01 CDT,1420
195,2025-08-10 18:01 CDT,1420
196,2025-08-10 19:01 CDT,1420
197,2025-08-10 20:01 CDT,1425
198,2025-08-10 21:01 CDT,1430
199,2025-08-10 22:01 CDT,1435
200,2025-08-10 23:01 CDT,1435
201,2025-08-11 00:01 CDT,1435
202,2025-08-11 01:01 CDT,1435
203,2025-08-11 02:01 CDT,1435
204,2025-08-11 03:01 CDT,1435
205,2025-08-11 04:01 CDT,1482
206,2025-08-11 05:01 CDT,1606
207,2025-08-11 06:01 CDT,1606
208,2025-08-11 07:01 CDT,1606
209,2025-08-11 08:01 CDT,1606
210,2025-08-11 09:01 CDT,1611
211,2025-08-11 10:01 CDT,1611
212,2025-08-11 11:01 CDT,1611
213,2025-08-11 12:01 CDT,1611
214,2025-08-11 13:01 CDT,1611
215,2025-08-11 14:01 CDT,1611
216,2025-08-11 15:01 CDT,1611
217,2025-08-11 16:01 CDT,1611
218,2025-08-11 17:01 CDT,1611
219,2025-08-11 18:01 CDT,1616
220,2025-08-11 19:01 CDT,1621
221,2025-08-11 20:01 CDT,1626
222,2025-08-11 21:01 CDT,1631
223,2025-08-11 22:01 CDT,1636
224,2025-08-11 23:01 CDT,1636
225,2025-08-12 00:01 CDT,1636
226,2025-08-12 01:01 CDT,1636
227,2025-08-12 02:01 CDT,1636
228,2025-08-12 03:01 CDT,1636
229,2025-08-12 04:01 CDT,1676
230,2025-08-12 05:01 CDT,1703
231,2025-08-12 06:01 CDT,1703
232,2025-08-12 07:01 CDT,1703
233,2025-08-12 08:01 CDT,1703
234,2025-08-12 09:01 CDT,1703
235,2025-08-12 10:01 CDT,1703
236,2025-08-12 11:01 CDT,1703
237,2025-08-12 12:01 CDT,1703
238,2025-08-12 13:01 CDT,1708
239,2025-08-12 14:01 CDT,1708
240,2025-08-12 15:01 CDT,1708
241,2025-08-12 16:01 CDT,1708
